County,"SELPA 
Code","SELPA
Name",SELPA Website,SELPA Mailing Address,City,Zip Code,SELPA Phone Number
Alameda,111,Mid-Alameda County,Mid-Alameda County SELPA,4400 Alma Avenue,Castro Valley,94546,510-537-3000 x 1201
Alameda,112,North Region  ,North Region SELPA,1200 Solano Avenue,Albany,94706,510-525-9805
Alameda,113,Oakland Unified  ,Oakland Unified School District Special Education,915 54th Street,Oakland,94608,510-879-8090
Alameda,114,Tri-Valley  ,Tri-Valley SELPA,4665 Bernal Avenue,Pleasanton,94566,925-426-9144
Alameda,115,Mission Valley  ,Mission Valley SELPA,4210 Technology Drive,Fremont,94538,510-657-2350
Amador,300,Amador County  ,Amador County SELPA,217 Rex Avenue,Jackson,95642,209-257-5306
Butte,400,Butte County  ,Butte County SELPA,1870 Bird Street,Oroville,95965,530-532-5620
Calaveras,500,Calaveras County  ,Calaveras County SELPA,P. O. Box 760,Altaville,95221,209-736-6040
Colusa,600,Colusa County  ,Colusa County Office of Education Special Education,"499 Marguerite Street, Suite A",Williams,95987,530-473-1350 x 10806
Contra Costa,701,Contra Costa ,Contra Costa SELPA,"2520 Stanwell Drive, Suite 270",Concord,94520,925-827-0949 x 14
Contra Costa,711,Mt. Diablo Unified  ,Mt. Diablo Unified School District Special Education,1936 Carlotta Drive,Concord,94519-1358,925-682-8000 x 4047
Contra Costa,712,West Contra Costa Unified  ,West Contra Costa Unified School District Special Education,3000 Parker Road,Richmond,94806,510-307-4633
Contra Costa,713,San Ramon Valley Unified,San Ramon Valley Unified School District SELPA,699 Old Orchard Drive,Danville,94526,925-552-2996
El Dorado,901,El Dorado County  ,El Dorado County SELPA,6767 Green Valley Road,Placerville,95667-9357,530-295-2228
El Dorado,911,Tahoe-Alpine  ,Tahoe-Alpine SELPA,1021 Al Tahoe Boulevard,South Lake Tahoe,96150-4502,530-541-2850 x 1026
El Dorado,951,El Dorado County Charter,El Dorado Charter SELPA,6767 Green Valley Road,Placerville,95667-9357,530-295-2453
Fresno,1001,Fresno County  ,Fresno County Superintendent of Schools SELPA,1111 Van Ness Avenue,Fresno,93721-2000,559-265-3049
Fresno,1011,Fresno Unified  ,Fresno Unified School District Special Education,1301 M Street,Fresno,93721,"559-457-3227 (direct)
559-457-3220 (main office)"
Fresno,1012,Clovis Unified  ,Clovis Unified School District Special Education,1680 David E. Cook Way,Clovis,93611-0599,559-327-9410
Fresno,1051,Fresno County Charter,Fresno County Charter SELPA,1111 Van Ness Avenue,Fresno,93721-2000,559-265-3049
Glenn,1100,Glenn County  ,Glenn County Office of Education SELPA,676 East Walker Street,Orland,95963,530-934-6575 x 2102 (direct)
Humboldt,1200,Humboldt-Del Norte,Humboldt-Del Norte SELPA,2822 Harris Street,Eureka,95503,707-441-2051
Imperial,1300,Imperial County  ,Imperial County SELPA,1398 Sperber Road,El Centro,92243,760-312-6417
Inyo,1400,Inyo County  ,Inyo County Office of Education Special Education,166 Grandview Drive,Bishop,93514,760-873-3262 x 2108
Kern,1501,Kern County Consortium,Kern County Consortium SELPA,1300 17th Street,Bakersfield,93301-4533,661-636-4801
Kern,1511,Bakersfield City Elementary  ,Bakersfield City School District SELPA,1300 Baker Street,Bakersfield,93305,661-631-5863
Kern,1512,Kern High,Kern High School District Special Education,5801 Sundale Avenue,Bakersfield,93309,661-827-3105
Kern,1513,Sierra Sands  ,Sierra Sands Unified School District SELPA,113 West Felspar Avenue,Ridgecrest,93555-3520,760-499-1703
Kern,1514,Panama-Buena Vista Union,Panama-Buena Vista Union School District SELPA,4200 Ashe Road,Bakersfield,93313,661-831-1906 x 6567
Kings,1600,Kings County  ,Kings County Office of Education SELPA,1144 West Lacey Boulevard,Hanford,93230,"559-589-7097 (direct)
559-589-2504 (main office)"
Lake,1700,Lake County ,Lake County Office of Education SELPA,1152 South Main Street,Lakeport,95453,707-262-4130
Lassen,1800,Lassen County  ,Lassen County Office of Education SELPA,472-013 Johnstonville Road North,Susanville,96130,530-251-8777
Los Angeles,1901,Los Angeles County Office of Education,Los Angeles County Office of Education SELPA,"9300 Imperial Highway, ECW 2035",Downey,90242,562-803-8338
Los Angeles,1902,Downey-Montebello,Downey-Montebello SELPA,"9625 Van Ruiten Street, Room K1",Bellflower,90706,562-469-6790
Los Angeles,1903,East San Gabriel Valley  ,East San Gabriel Valley SELPA,1400 Ranger Drive,Covina,91722-2055,626-966-1679
Los Angeles,1904,Mid-Cities  ,Mid-Cities SELPA,16703 South Clark Avenue,Bellflower,90706,562-866-9011 x 2050
Los Angeles,1906,Santa Clarita Valley  ,Santa Clarita Valley SELPA,26320 Spirit Court,Santa Clarita,91350,661-259-0033
Los Angeles,1907,Southwest ,Southwest Service Area SELPA,10322 Condon Avenue,Lennox,90304,310-680-5770 x 5804
Los Angeles,1908,West San Gabriel Valley  ,West San Gabriel Valley SELPA,11204 Asher Street,El Monte ,91731,626-262-6257
Los Angeles,1911,Antelope Valley  ,Antelope Valley SELPA,"39139 10th Street, East",Palmdale,93550,661-274-4136
Los Angeles,1912,Foothill,Foothill SELPA,223 North Jackson Street,Glendale,91206,818-246-5378 x 1504
Los Angeles,1913,Long Beach Unified  ,Long Beach Unified School District Special Education,1515 Hughes Way,Long Beach,90810-1839,"562-997-8051 (direct)
562-997-8000 (main office)"
Los Angeles,1914,Los Angeles Unified  ,Los Angeles Unified School District Special Education,"333 S. Beaudry Avenue, 17th Floor",Los Angeles,90017,213-241-6701
Los Angeles,1916,Pasadena Unified  ,Pasadena Unified School District Special Education,"351 South Hudson Avenue, Room 227",Pasadena,91109,626-396-3600 x 88605
Los Angeles,1917,Tri-City  ,Tri-City SELPA,4034 Irving Place,Culver City,90232,310-842-4220 x 4367
Los Angeles,1918,Whittier Area Cooperative,Whittier Area Cooperative Special Education,8036 Ocean View Avenue,Whittier,90602,562-945-6431
Los Angeles,1919,Pomona Unified,Pomona Unified School District Special Education,851 South Hamilton Boulevard,Pomona,91766,909-397-4648 x 28152
Los Angeles,1920,Compton Unified,Compton Unified School District Special Education,2300 West Caldwell Ave - L19,Compton,90220,310-639-4321 x 55107
Los Angeles,1921,ABC Unified,ABC Unified School District Special Education,16700 Norwalk Boulveard,Cerritos,90703,562-926-5566 x 21155
Los Angeles,1922,Norwalk-La Mirada Unified,Norwalk-LaMirada Unified School District SELPA,12820 Pioneer Boulevard,Norwalk,90650,562-210-2085
Los Angeles,1923,Rowland Unified,Rowland Unified School District SELPA,1830 South Nogales Street,Rowland Heights,91748,626-935-8201
Los Angeles,1924,Hacienda La Puente Unified,Hacienda La Puente Unified School District SELPA,15151 Palm Avenue,Hacienda Heights,91745,626-933-6507
Los Angeles,1951,Los Angeles County Charter,Los Angeles County Charter SELPA,"9300 Imperial Highway, ECW2035",Downey,90242,562-401-5737
Madera,2000,Madera-Mariposa County  ,Madera-Mariposa SELPA,1105 South Madera Avenue,Madera,93637,559-662-4673
Marin,2100,Marin County  ,Marin County SELPA,1111 Las Gallinas Avenue,San Rafael,94913,415-499-5850
Mendocino,2300,Mendocino County  ,Mendocino County SELPA,2240 Old River Road,Ukiah,95482,707-467-5173
Merced,2400,Merced County  ,Merced County SELPA,632 West 13th Street,Merced,95341,209-381-6710
Modoc,2500,Modoc County  ,Modoc County Office of Education SELPA,139 Henderson Street,Alturas,96101,530-233-7110
Mono,2600,Mono County  ,Mono County Office of Education SELPA,"451 Sierra Park Road
P.O. Box 130
Financial: 
P.O. Box 477","Mammoth Lakes
Financial: Bridgeport","93546
Financial: 93517",760-934-0031 x 113
Monterey,2700,Monterey County  ,Monterey County SELPA,901 Blanco Circle · West Campus 17 and 18 ,Salinas,93901,831-755-0342
