,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,District Code,School Code,Charter Number,Charter Fund Type,Local Educational Agency,District Type,"County Office of Education LCFF State Aid 
(0000-8011)
A-1","School District LCFF State Aid
 (0000-8011)
A-2","Charter School LCFF State Aid
 (0000-8011)
A-3","School District Basic Aid ""Choice""
 (0000-8011)
A-4","School District Basic Aid Court-Ordered Voluntary Pupil Transfer 
(0000-8011)
A-5","School District Basic Aid Open Enrollment 
(0000-8011)
A-6","School District Basic Aid Supplement Charter School Adjustment 
(0000-8011)
A-7","Adults in Correctional Facilities 
(6015-8311)
A-8","Special Education 
AB 602
(6500-8311)
A-9","Special Education
Infants 0-2 
(6510-8311)
A-10","Special Education
Mental Health Services
(6546-8590)
A-11","Special Education
Early Intervention Preschool Grant
(6547-8590)
A-12","Expanded Learning Opportunities Program
(2600-8590)
A-13","Transfer of Funds for County Served District Funded ADA
(0000-7142 for districts and 0000-8710 for COEs)
A-14","Other State Aid (Ch.44/2021, Ch.48/2023, and 38/2024) (7810-8590)
A-15","Home-to-School Transportation Reimbursement
(0000-8590)
A-16","Proposition 28: Arts and Music In Schools (6770-8590)
A-17","LCFF Equity Multiplier (7399-8590)
A-18","Student Support and Enrichment Block Grant (6018-8590) 
A-19","New or Expanding Charter Advance Payments 
(0000-8011)
A-20","School District Advance Payments of In-lieu of Property Tax Transfers for New or Expanding Charter Schools 
(0000-8011)
A-21","Amount Charter Overpaid
A-22","PY Amount Charter Overpaid
A-23","Adjustments and PY Recomputations
A-24","Total Principal Apportionment
(Sum of A-1 through A-24)
B-1","EPA Entitlement
(1400-8012)
C-1","Total of LCFF State Aid and EPA Entitlement
(A-1 + A-2 + A-3 + C-1)
D-1",Payment Type,Notes
01,10017,0000000,N/A,N/A,Alameda Co. Office of Education,CO OFFICE," $14,261,602 ", $- , $- , $- , $- , $- , $- , $- , $- ," $894,504 "," $11,772 ", $- , $- , $- , $- , $- ," $17,124 "," $504,271 "," $473,850 ", $- , $- , $- , $- ," $2,411 "," $16,165,534 "," $31,590 "," $14,293,192 ", 1 , - 
01,10017,0112607,0811,D,Envision Academy for Arts & Technology,UNIFIED, - , - ," 1,712,796 ", - , - , - , - , - , - , - ," 15,041 ", - ," 50,000 ", - , - , - ," 35,841 ", - , - , - , - , - , - ," 10,177 "," 1,823,855 "," 429,054 "," 2,141,850 ", 1 , - 
01,10017,0123968,1284,D,Community School for Creative Education,UNIFIED, - , - ," 1,376,836 ", - , - , - , - , - , - , - ," 13,201 ", - ," 320,108 ", - , - , - ," 32,470 "," 215,982 ", - , - , - , - , - ," 17,677 "," 1,976,274 "," 311,600 "," 1,688,436 ", 1 , - 
01,10017,0124172,1296,D,Yu Ming Charter,CO OFFICE, - , - ," 8,964,681 ", - , - , - , - , - , - , - ," 76,752 ", - ," 422,393 ", - , - , - ," 112,788 ", - , - , - , - , - , - ," (3,112)"," 9,573,502 "," 1,808,543 "," 10,773,224 ", 1 , - 
01,10017,0125567,1383,D,Urban Montessori Charter,UNIFIED, - , - ," 1,956,606 ", - , - , - , - , - , - , - ," 26,327 ", - ," 164,031 ", - , - , - ," 46,012 ", - , - , - , - , - , - ," 17,016 "," 2,209,992 "," 620,357 "," 2,576,963 ", 1 , - 
01,10017,0129403,1632,D,Epic Charter,UNIFIED, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , * 
01,10017,0130625,0398,D,Alternatives in Action,UNIFIED, - , - ," 1,061,385 ", - , - , - , - , - , - , - ," 8,156 ", - , - , - , - , - ," 23,291 ", - , - , - , - , - , - ," 2,703 "," 1,095,535 "," 232,652 "," 1,294,037 ", 1 , - 
01,10017,0131581,1707,D,Oakland Unity Middle School,UNIFIED, - , - ," 1,259,379 ", - , - , - , - , - , - , - ," 10,551 ", - ," 99,449 ", - , - , - ," 22,467 ", - , - , - , - , - , - ," 6,708 "," 1,398,554 "," 25,540 "," 1,284,919 ", 1 , - 
01,10017,0136101,1881,D,"Connecting Waters Charter School, East Bay",UNIFIED, - , - ," 3,963,768 ", - , - , - , - , - , - , - ," 44,497 ", - , - , - , - , - ," 64,121 ", - , - , - , - , - , - ," 56,871 "," 4,129,257 "," 107,710 "," 4,071,478 ", 1 , - 
01,10017,0136226,1888,L,Opportunity Academy,CO OFFICE, - , - ," 1,690,865 ", - , - , - , - , - , - , - ," 15,521 ", - , - , - , - , - ," 22,424 ", - , - , - , - , - ," (129,735)"," 7,532 "," 1,606,607 "," 34,476 "," 1,725,341 ", 1 , - 
01,10017,0137448,1908,D,Aurum Preparatory Academy,UNIFIED, - , - ," 863,797 ", - , - , - , - , - , - , - ," 7,114 ", - ," 116,962 ", - , - , - ," 21,703 ", - , - , - , - , - , - ," 6,977 "," 1,016,553 "," 17,220 "," 881,017 ", 1 , - 
